month,dispersion_globale,dispersion_cohorte,n_models_cohorte
2025-02,0.8908828501093052,0.5806641292404388,5
2025-03,0.9904113703209974,0.735239442722957,9
2025-04,1.0058767601385796,0.742096318132614,9
2025-05,0.930669942839463,0.8012941051686068,9
2025-06,0.9676710285913421,0.8320745135362507,9
2025-07,0.9807551124200844,0.8206576406613745,8
2025-08,0.8867901415396161,0.6253640180677729,9
2025-09,0.9280870419241979,0.685386007582288,9
2025-10,1.3607755430072468,0.703850778265592,7
2025-11,1.3392023927826098,0.8717920719417116,7
2025-12,1.2694408053596873,0.6350470993724548,7
2026-01,1.2724518125479023,0.5964292969341674,5
