pair_tier,feature,coef,odds_pct_per_sd,n_battles,n_models
bottom-bottom,headers,0.06825071605187039,7.063369988658641,17293,30
bottom-bottom,lists,0.228929672381644,25.72536162480943,17293,30
bottom-bottom,bold,0.21674596703212579,24.202854586092258,17293,30
bottom-middle,headers,0.13759275341286914,14.75081363320463,20950,58
bottom-middle,lists,0.13414164169137485,14.355478320765291,20950,58
bottom-middle,bold,0.15339917280341314,16.57902378346401,20950,58
bottom-top,headers,0.10072192396259383,10.59690555067727,9449,53
bottom-top,lists,0.13479355012375857,14.430051926311972,9449,53
bottom-top,bold,0.34772438209972417,41.58419645683078,9449,53
middle-middle,headers,0.16017195149787283,17.371267529362598,10837,29
middle-middle,lists,0.08907228497850009,9.315967249387814,10837,29
middle-middle,bold,0.07971825504087846,8.298189999610583,10837,29
middle-top,headers,0.1568128956765003,16.977672314141934,14317,56
middle-top,lists,0.14294774217661063,15.366951183311727,14317,56
middle-top,bold,0.15992510943707963,17.34229893928807,14317,56
top-top,headers,0.07177100142122465,7.440927769284955,6229,28
top-top,lists,0.10858349519747282,11.469797658059711,6229,28
top-top,bold,0.16634620656905358,18.098189464565493,6229,28
